Wall time,Step,Value
1721119201.5090559,1435648,-250.47303771972656
1721119265.687847,1445888,-240.4900360107422
1721119328.9008574,1456128,-240.45323181152344
1721119391.1833327,1466368,-252.48326110839844
1721119453.1468933,1476608,-249.8439483642578
1721119516.2377043,1486848,-250.4710693359375
1721119579.789967,1497088,-250.46531677246094
1721119640.4343035,1507328,-252.49229431152344
1721119701.3106308,1517568,-240.4441375732422
1721119763.540065,1527808,-250.47508239746094
1721119826.2048516,1538048,-240.49301147460938
1721119891.2608047,1548288,-240.4688262939453
1721119956.464771,1558528,-222.4114990234375
1721120021.1322782,1568768,-220.4427032470703
1721120083.115092,1579008,-220.4659881591797
1721120145.6702635,1589248,-220.46304321289062
1721120208.4687583,1599488,-230.48069763183594
1721120274.0932612,1609728,-240.46343994140625
1721120348.4819071,1619968,-242.46986389160156
1721120419.695798,1630208,-230.4981231689453
1721120490.0735185,1640448,-222.3934783935547
1721120556.8711946,1650688,-230.4614715576172
1721120623.2467558,1660928,-242.4752960205078
1721120688.4085336,1671168,-240.49020385742188
1721120760.4489534,1681408,-240.49453735351562
1721120836.582554,1691648,-250.51988220214844
1721120910.7781746,1701888,-250.5438232421875
1721121000.6782277,1712128,-262.6724853515625
1721121097.5687017,1722368,-270.64398193359375
1721121183.2600234,1732608,-260.6795654296875
1721121272.324594,1742848,-280.8092041015625
1721121362.3158867,1753088,-270.6824951171875
1721121455.8248093,1763328,-260.6468200683594
1721121542.156703,1773568,-262.7652893066406
1721121633.182936,1783808,-250.53680419921875
1721121722.8635542,1794048,-240.52200317382812
1721121805.9153936,1804288,-190.61305236816406
1721121889.0841856,1814528,-200.60940551757812
1721121976.2129776,1824768,-212.69277954101562
1721122063.8964536,1835008,-210.62049865722656
1721122150.2013755,1845248,-190.64407348632812
1721122236.490902,1855488,-240.57379150390625
1721122325.6393106,1865728,-260.609130859375
1721122416.1956992,1875968,-260.6296081542969
1721122519.5223234,1886208,-270.53863525390625
1721122634.6365807,1896448,-272.6560363769531
1721122751.5468078,1906688,-280.5639343261719
1721122871.8655345,1916928,-270.5441589355469
1721122980.954416,1927168,-250.52197265625
1721123090.2971592,1937408,-240.4895477294922
1721123208.6219666,1947648,-240.47653198242188
1721123317.719184,1957888,-260.4786682128906
1721123432.320346,1968128,-290.51300048828125
1721123545.792054,1978368,-292.6387634277344
1721123656.599095,1988608,-312.69110107421875
1721123767.6815941,1998848,-322.7087707519531
1721123878.439253,2009088,-300.559326171875
1721123990.1761093,2019328,-232.6036376953125
1721124104.064519,2029568,-262.60333251953125
1721124210.8432453,2039808,-282.6234436035156
1721124339.8242226,2050048,-280.5039978027344
1721124455.5645359,2060288,-280.43182373046875
1721124569.1409888,2070528,-280.3608703613281
1721124680.3241167,2080768,-290.3653869628906
1721124790.911367,2091008,-290.4174499511719
1721124902.4757507,2101248,-270.41729736328125
1721125018.249612,2111488,-270.377685546875
1721125128.5717533,2121728,-250.33375549316406
1721125236.1278777,2131968,-230.28533935546875
1721125345.2261708,2142208,-222.44261169433594
1721125454.9970243,2152448,-220.2924346923828
1721125554.9683428,2162688,-220.29010009765625
1721125653.4151702,2172928,-210.26454162597656
1721125747.2373507,2183168,-210.25628662109375
1721125843.0548475,2193408,-210.25537109375
1721125937.038554,2203648,-212.39627075195312
1721126028.333215,2213888,-220.27389526367188
1721126121.2653105,2224128,-202.3699188232422
1721126214.4725142,2234368,-200.24159240722656
1721126304.884819,2244608,-212.38742065429688
1721126396.5934749,2254848,-212.376220703125
